region,province,congressional_district,no_name,name_of_institution,classification_of_institution,address,contact_number,sector,course_registered_program,duration,status
ARMM,Basilan,Lone,1,"Mindanao Autonomous College Foundation, Inc.",HEI,"D' Flores St., Bgy. Maligaya, Lamitan City, Basilan",09269759332/09051369203,Human Health/Health Care,Health Care Services NC II,996 hours,WTR
ARMM,Basilan,1st,2,Provincial Training Center,TESDA Technology Institution,"Geras Road, Sumagdang, Isabela City",(062)200-3603/200-3232,Garments,Dressmaking NC II,275 hours,WTR
ARMM,Lanao del Sur,1st,3,Cali Paramedical College Foundation,HEI,"Gaus Bldg., Quezon Ave., Marawi City LDS",(063)3520-525/09187749888,Human Health/Health Care,Caregiving NC II,786 hours,WTR
ARMM,Lanao del Sur,1st,3,Cali Paramedical College Foundation,HEI,"Gaus Bldg., Quezon Ave., Marawi City LDS",(063)3520-525/09187749888,Human Health/Health Care,Health Care Services NC II,996 hours,WTR
ARMM,Lanao del Sur,1st,3,Cali Paramedical College Foundation,HEI,"Gaus Bldg., Quezon Ave., Marawi City LDS",(063)3520-525/09187749888,Human Health/Health Care,Massage Therapy NC II,560 hours,WTR
ARMM,Lanao del Sur,1st,3,Cali Paramedical College Foundation,HEI,"Gaus Bldg., Quezon Ave., Marawi City LDS",(063)3520-525/09187749888,Human Health/Health Care,Emergency Medical Sevices NC II,960 hours,WTR
ARMM,Lanao del Sur,1st,4,Datu Blo Umpar Adiong Agricultural (Buad-Agri) School,TVI,"Marantao, LDS",9205269481,"Agriculture, Forestry and Fishery",Horticulture NC II,"1,440 hours",WTR
ARMM,Lanao del Sur,1st,5,"Hope Healthcare Training Institute, Inc.",TVI,"142 Osmena St., Marawi City LDS",9269847229,Human Health/Health Care,Caregiving NC II,786 Hrs.,WTR
ARMM,Maguindanao,1st,6,"Jcourse Design Technology Institute, Inc.",TVI,"EMB Bldg., Poblacion II Parang, Maguindanao",None,Electrical & Electronics,Electrical Installation & Maintenance NC II,402 hours,WTR
ARMM,Maguindanao,1st,6,"Jcourse Design Technology Institute, Inc.",TVI,"EMB Bldg., Poblacion II Parang, Maguindanao",None,Human Health/Health Care,Pharmacy Services NC II,271 hours,WTR
ARMM,Maguindanao,1st,6,"Jcourse Design Technology Institute, Inc.",TVI,"EMB Bldg., Poblacion II Parang, Maguindanao",None,Construction,Technical Drafting NC II,206 hours,WTR
ARMM,Maguindanao,1st,6,"Jcourse Design Technology Institute, Inc.",TVI,"EMB Bldg., Poblacion II Parang, Maguindanao",None,Electrical & Electronics,Computer Systems Servicing NC II,280 hours,WTR
ARMM,Lanao del Sur,1st,7,Jamiatu Marawi Al-Islamia Foundation,HEI,"Moncado Kadingilan, Marawi City ",None,ICT,Computer Hardware Servicing NC II,356 hours,WTR
ARMM,Lanao del Sur,1st,7,Jamiatu Marawi Al-Islamia Foundation,HEI,"Moncado Kadingilan, Marawi City ",None,Human Health/Health Care,Caregiving NC II,786 hours,WTR
ARMM,Lanao del Sur,1st,8,"J.I. Skills Training Center, Inc.",TVI,"Igabay Balabagan, Lanao del Sur",(+63) 9077217153,Human Health/Health Care,Health Care Services NC II,996 hours,WTR
ARMM,Lanao del Sur,1st,8,"J.I. Skills Training Center, Inc.",TVI,"Igabay Balabagan, Lanao del Sur",(+63) 9077217153,Human Health/Health Care,Massage Therapy NC II,560 hours,WTR
ARMM,Lanao del Sur,1st,9,"Lanao Islamic Paramedical College Foundation, Inc.",HEI,"023 Pumping St., Marawi City",None,Human Health/Health Care,Health Care Services NC II,996 hours,WTR
ARMM,Lanao del Sur,1st,9,"Lanao Islamic Paramedical College Foundation, Inc.",HEI,"023 Pumping St., Marawi City",None,Human Health/Health Care,Caregiving NC II,786 hours,WTR
ARMM,Maguindanao,1st,10,Language Skills Institute - ZCLO,TESDA Technology Institution,"2nd Floor, LHB II Building, Veterans Avenue, Brgy. Zone 3, Zamboanga City",(062)990-2959,Others (Language),Basic Spanish Language for Different Vocations,100 hours,NTR
ARMM,Maguindanao,2nd,11,Lamalan Balis Flash Image Learning Center Inc.,TVI,"Poblacion, Datu Piang, Maguindanao",None,Automotive and Land Transportation,Driving NC II,118 hours,WTR
ARMM,Basilan,Lone,12,"Lamitan Technical Institute, Inc.",TVI,"D' Flores St., Brgy. Maligaya, Lamitan City, Basilan",None,ICT,2D Animation NC III,840 hours,WTR
ARMM,Basilan,Lone,12,"Lamitan Technical Institute, Inc.",TVI,"D' Flores St., Brgy. Maligaya, Lamitan City, Basilan",None,Tourism,Bartending NC II,326 hours,WTR
ARMM,Basilan,Lone,12,"Lamitan Technical Institute, Inc.",TVI,"D' Flores St., Brgy. Maligaya, Lamitan City, Basilan",None,Tourism,Bread & Pastry Production NC II,141 hours,WTR
ARMM,Basilan,Lone,12,"Lamitan Technical Institute, Inc.",TVI,"D' Flores St., Brgy. Maligaya, Lamitan City, Basilan",None,Tourism,Food & Beverage Services NC II,356 hours,WTR
ARMM,Basilan,Lone,12,"Lamitan Technical Institute, Inc.",TVI,"D' Flores St., Brgy. Maligaya, Lamitan City, Basilan",None,Tourism,Front Office Services NC II,442 hours,WTR
ARMM,Basilan,Lone,12,"Lamitan Technical Institute, Inc.",TVI,"D' Flores St., Brgy. Maligaya, Lamitan City, Basilan",None,Human Health/Health Care,Health Care Services NC II,996 hours,WTR
ARMM,Basilan,Lone,12,"Lamitan Technical Institute, Inc.",TVI,"D' Flores St., Brgy. Maligaya, Lamitan City, Basilan",None,Tourism,Housekeeping NC II,436 hours,WTR
ARMM,Lanao del Sur,1st,13,"Mapandi Memorial Medical and Educational Center, Inc.",TVI,"Marawi City, LDS",546-4112,Human Health/Health Care,Caregiving NC II,786 hours,WTR
ARMM,Lanao del Sur,1st,14,Mapandi Memorial College,TVI,"Marawi City, Lanao del Sur",None,Garments,Dressmaking NC II,275 hours,WTR
ARMM,Basilan,Lone,15,"The Mariam School of Nursing, Inc.",HEI,"Rizal Avenue, Lamitan, Basilan",None,Tourism,Bartending NC II,286 hours,WTR
ARMM,Basilan,Lone,15,"The Mariam School of Nursing, Inc.",HEI,"Rizal Avenue, Lamitan, Basilan",None,Tourism,Front Office Services NC II,436 hours,WTR
ARMM,Basilan,Lone,15,"The Mariam School of Nursing, Inc.",HEI,"Rizal Avenue, Lamitan, Basilan",None,ICT,Computer Hardware Servicing NC II,356 hours,WTR
ARMM,Basilan,Lone,15,"The Mariam School of Nursing, Inc.",HEI,"Rizal Avenue, Lamitan, Basilan",None,Electrical & Electronics,Consumer Electronics Servicing NC II,438 hours,WTR
ARMM,Lanao del Sur,1st,16,"Mascom Computer Learning Centre Marawi City, Inc.",TVI,"0035 Mapandi Street, Marawi City",None,Electrical & Electronics,Computer Systems Servicing NC II,280 hours,WTR
ARMM,Lanao del Sur,1st,17,Mauyag C. Papandayan National High School,DepEd Supv.,"Rinabor, Bayang, Lanao del Sur",None,Garments,Dressmaking NC II,275 hours,WTR
ARMM,Lanao del Sur,1st,18,Provincial/City Manpower Development Center,TESDA Technology Institution,"Gen. Mamarinta Lao, Maliwanag, Marawi City, Lanao del Sur",9192727050,"Social, Community Dev't. & Other Services",Beauty Care NC II,"1,098 hours",WTR
ARMM,Lanao del Sur,1st,18,Provincial/City Manpower Development Center,TESDA Technology Institution,"Gen. Mamarinta Lao, Maliwanag, Marawi City, Lanao del Sur",9192727050,"Social, Community Dev't. & Other Services",Hairdressing NC II,"1,096 hours",WTR
ARMM,Lanao del Sur,1st,19,SMD Foundation Academy,TVI,"Menor St., Pagarungan Village, Marawi City",(+63) 9195934577,Human Health/Health Care,Caregiving NC II,786 hours,WTR
ARMM,Maguindanao,2nd,20,Mamasapano Technical Vocational Education and Training Center,GOCC/GFI,"Brgy. Manungkaling, Mamasapano Maguindanao",09219828450/09204104094,Automotive and Land Transportation,Driving NC II,118 hours,WTR
ARMM,Maguindanao,2nd,20,Mamasapano Technical Vocational Education and Training Center,GOCC/GFI,"Brgy. Manungkaling, Mamasapano Maguindanao",09219828450/09204104094,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC II,268 hours,WTR
ARMM,Maguindanao,2nd,20,Mamasapano Technical Vocational Education and Training Center,GOCC/GFI,"Brgy. Manungkaling, Mamasapano Maguindanao",09219828450/09204104094,Electrical & Electronics,Electrical Installation & Maintenance NC II,402 hours,WTR
ARMM,Maguindanao,1st,21,"MC2 Institute of Techonology, Inc.",TVI,"Poblacion Nuro, Upi, Maguindanao",None,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC II,268 hours,WTR
ARMM,Maguindanao,1st,21,"MC2 Institute of Techonology, Inc.",TVI,"Poblacion Nuro, Upi, Maguindanao",None,Electrical & Electronics,Electrical Installation & Maintenance NC II,402 hours,WTR
ARMM,Maguindanao,2nd,22,Datu Ibrahim Paglas Memorial College,HEI ,"Poblacion, Datu Panglas, Maguindanao",None,Automotive and Land Transportation,Motorcycle/Small Engine Servicing NC II,278 hours,WTR
ARMM,Maguindanao,2nd,22,Datu Ibrahim Paglas Memorial College,HEI ,"Poblacion, Datu Panglas, Maguindanao",None,"Agriculture, Forestry and Fishery",Agricultural Crops Production NC II,336 hours,WTR
ARMM,Maguindanao,2nd,22,Datu Ibrahim Paglas Memorial College,HEI ,"Poblacion, Datu Panglas, Maguindanao",None,Tourism,Bread & Pastry Production NC II,141 hours,WTR
ARMM,Maguindanao,2nd,22,Datu Ibrahim Paglas Memorial College,HEI ,"Poblacion, Datu Panglas, Maguindanao",None,Tourism,Housekeeping NC II,436 hours,WTR
ARMM,Tawi-tawi,Lone,23,"DZAJ Tawi-Tawi Technological Institute, Inc.",TVI,"Tubig Boh, Boangao, Tawi-Tawi",None,Automotive and Land Transportation,Motorcycle/Small Engine Servicing NC II,278 hours,WTR
ARMM,Tawi-tawi,Lone,23,"DZAJ Tawi-Tawi Technological Institute, Inc.",TVI,"Tubig Boh, Boangao, Tawi-Tawi",None,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC II,268 hours,WTR
ARMM,Tawi-tawi,Lone,23,"DZAJ Tawi-Tawi Technological Institute, Inc.",TVI,"Tubig Boh, Boangao, Tawi-Tawi",None,Electrical & Electronics,Computer Systems Servicing NC II,280 hours,WTR
ARMM,Tawi-tawi,Lone,23,"DZAJ Tawi-Tawi Technological Institute, Inc.",TVI,"Tubig Boh, Boangao, Tawi-Tawi",None,Electrical & Electronics,Electrical Installation & Maintenance NC II,402 hours,WTR
ARMM,Maguindanao,1st,24,"Gskill Design Technology Institute, Inc.",TVI,"Marges, Sultan Mastura, Maguindanao",None,"Agriculture, Forestry and Fishery",Agricultural Crops Production NC I,302 hours,WTR
ARMM,Maguindanao,2nd,25,"Goldtown Technological Institute, Inc.",TVI,"Buluan, Maguindanao",9165059855,Human Health/Health Care,Caregiving NC II,786 hours,WTR
ARMM,Maguindanao,2nd,25,"Goldtown Technological Institute, Inc.",TVI,"Buluan, Maguindanao",9165059855,Human Health/Health Care,Health Care Services NC II,996 hours,WTR
ARMM,Maguindanao,2nd,25,"Goldtown Technological Institute, Inc.",TVI,"Buluan, Maguindanao",9165059855,Automotive and Land Transportation,Driving NC II,118 hours,WTR
ARMM,Maguindanao,2nd,25,"Goldtown Technological Institute, Inc.",TVI,"Buluan, Maguindanao",9165059855,Construction,Masonry NC II,258 hours,WTR
ARMM,Maguindanao,2nd,25,"Goldtown Technological Institute, Inc.",TVI,"Buluan, Maguindanao",9165059855,Electrical & Electronics,Computer Systems Servicing NC II,280 hours,WTR
ARMM,Maguindanao,2nd,26,"Maguindanao Institute of Technology, Inc.",TVI,"Buluan, Maguindanao",(+63) 9065778902,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC II,304 hours,WTR
ARMM,Maguindanao,1st,27,Regional Manpower Development Center,TESDA Technology Institution,"RMDC, Brgy. Rebuken, Municipality of Sultan Kudarat, Maguindanao",(064) 429-0091,Automotive and Land Transportation,Motorcycle/Small Engine Servicing NC II (Galing Mekaniko),278 hours,WTR
ARMM,Maguindanao,1st,28,Southern Philippines College of Science & Health Education ,HEI,"Poblacion 1, Parang Maguindanao",(064) 425-0066,Human Health/Health Care,Caregiving NC II,786 hours,WTR
ARMM,Sulu,1st,29,"Sulu College of Technology, Inc.",TVI,"Moore Ave. Alat Jolo, Sulu",None,Tourism,Bread & Pastry Production NC II,141 hours,WTR
ARMM,Sulu,1st,29,"Sulu College of Technology, Inc.",TVI,"Moore Ave. Alat Jolo, Sulu",None,Electrical & Electronics,Electrical Installation & Maintenance NC II,402 hours,WTR
ARMM,Sulu,1st,29,"Sulu College of Technology, Inc.",TVI,"Moore Ave. Alat Jolo, Sulu",None,Human Health/Health Care,Health Care Services NC II,996 hours,WTR
ARMM,Sulu,1st,29,"Sulu College of Technology, Inc.",TVI,"Moore Ave. Alat Jolo, Sulu",None,Construction,PV Systems Installation NC II,284 hours,WTR
ARMM,Sulu,1st,29,"Sulu College of Technology, Inc.",TVI,"Moore Ave. Alat Jolo, Sulu",None,Garments,Dressmaking NC II,275 hours,WTR
ARMM,Sulu,1st,29,"Sulu College of Technology, Inc.",TVI,"Moore Ave. Alat Jolo, Sulu",None,Human Health/Health Care,Pharmacy Services NC II,271 hours,WTR
ARMM,Sulu,1st,29,"Sulu College of Technology, Inc.",TVI,"Moore Ave. Alat Jolo, Sulu",None,"Social, Community Dev't. & Other Services",Security Services NC II,223 Hours,WTR
ARMM,Sulu,1st,29,"Sulu College of Technology, Inc.",TVI,"Moore Ave. Alat Jolo, Sulu",None,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC II,268 hours,WTR
ARMM,Sulu,1st,29,"Sulu College of Technology, Inc.",TVI,"Moore Ave. Alat Jolo, Sulu",None,Electrical & Electronics,Computer Systems Servicing NC II,280 hours,WTR
ARMM,Sulu,1st,29,"Sulu College of Technology, Inc.",TVI,"Moore Ave. Alat Jolo, Sulu",None,Tourism,Cookery NC II,316 hours,WTR
ARMM,Sulu,1st,29,"Sulu College of Technology, Inc.",TVI,"Moore Ave. Alat Jolo, Sulu",None,Tourism,Food & Beverage Services NC II,356 hours,WTR
ARMM,Sulu,1st,29,"Sulu College of Technology, Inc.",TVI,"Moore Ave. Alat Jolo, Sulu",None,Tourism,Housekeeping NC II,436 hours,WTR
